date,inventory_accuracy,stocktake_discrepancy_rate,receipt_timeliness_rate,picking_lines_per_hour,abs_diff_value,book_value,n_stocktake_records,n_discrepancy_records,n_receipts,n_pick_lines,picking_seconds
2026-06-01,0.996207290154232,0.06,0.8108108108108109,32.84578503368332,783.7299999999999,206641.17,50,50,111,451,49431.0
2026-06-02,0.9994656427455372,0.04,0.8448275862068966,32.867698466009564,106.75999999999999,199791.43,50,50,116,666,72947.0
2026-06-03,0.9967939252531521,0.08,0.8532110091743119,32.94001824209871,496.13000000000005,154746.86,50,50,109,632,69071.0
2026-06-04,0.9992998911921006,0.02,0.7913043478260869,35.19126841157148,154.92000000000002,221279.88999999998,50,50,115,369,37748.0
2026-06-05,0.9997422888084768,0.02,0.7789473684210526,32.38380809595202,38.22,148305.55,50,50,95,480,53360.0
2026-06-06,0.9968103154741046,0.08,0.7904761904761904,34.11518018237675,642.62,201468.2,50,50,105,583,61521.0
2026-06-07,0.9993819741046444,0.06,0.8073394495412844,32.50619783019082,166.19,268904.59,50,50,109,397,43967.0
2026-06-08,0.9971733481508878,0.06,0.8387096774193549,32.88271830471319,726.53,257028.47,50,50,124,400,43792.0
2026-06-09,0.9985415299972548,0.08,0.8037383177570093,33.090470446320865,633.11,434091.88999999996,50,50,107,381,41450.0
2026-06-10,0.9947932896160606,0.12,0.8301886792452831,32.848037571284806,1420.1200000000001,272748.03,50,50,106,544,59620.0
2026-06-11,0.9978012003418091,0.06,0.8446601941747572,32.476161352200386,535.16,243387.34,50,50,103,649,71942.0
2026-06-12,0.998193685115343,0.04,0.7927927927927928,33.98286782013638,554.3499999999999,306895.55,50,50,111,389,41209.0
2026-06-13,1.0,0.0,0.8666666666666667,33.65641952983725,0.0,306924.76,50,50,105,517,55300.0
2026-06-14,0.9951410931228495,0.08,0.8495575221238938,33.89911833503269,1144.3799999999999,235522.11,50,50,113,471,50019.0
2026-06-15,0.9948091604537516,0.06,0.8018018018018018,31.64081632653061,1922.39,370342.79,50,50,111,323,36750.0
2026-06-16,0.999313354831777,0.06,0.8275862068965517,35.04899389412283,237.26,345535.09,50,50,116,464,47659.0
2026-06-17,0.9980764035612849,0.04,0.8854166666666666,33.497733671452245,662.2800000000001,344292.59,50,50,96,466,50081.0
2026-06-18,0.9989362574756424,0.02,0.8571428571428571,32.16810066493307,379.06,356345.63,50,50,112,512,57299.0
2026-06-19,0.9990688771436783,0.02,0.8240740740740741,32.6754316489783,335.88,360725.76,50,50,108,573,63130.0
2026-06-20,0.9979414892461625,0.06,0.8198198198198198,34.19587291188994,675.7,328247.01,50,50,111,464,48848.0
2026-06-21,0.9960155379258471,0.08,0.8301886792452831,32.91801718754647,1460.19,366471.05,50,50,106,615,67258.0
2026-06-22,0.9985338793394349,0.08,0.8189655172413793,33.60293219303604,529.67,361273.13,50,50,116,382,40925.0
2026-06-23,0.9986752635688092,0.08,0.7523809523809524,31.98968436396255,530.48,400441.92,50,50,105,634,71348.0
2026-06-24,0.9953506774990357,0.06,0.7592592592592593,32.559809686251626,1960.1399999999999,421596.91,50,50,108,403,44558.0
2026-06-25,0.997377081186104,0.04,0.9047619047619048,33.70424372649835,945.8,360590.65,50,50,105,366,39093.0
