order_id,vehicle_id,sample_seq,ts_min,timestamp,lng,lat,speed_kmh,cabin_temp_c
DO202606010000,V01,0,829.12,2026-06-01 13:49:07.200000000,104.300267,30.840815,67.8,4.82
DO202606010000,V01,1,834.12,2026-06-01 13:54:07.200000000,104.276789,30.811105,55.2,4.29
DO202606010000,V01,2,839.12,2026-06-01 13:59:07.200000000,104.25331,30.781395,49.1,3.87
DO202606010000,V01,3,844.12,2026-06-01 14:04:07.200000000,104.229832,30.751685,63.0,5.0
DO202606010000,V01,4,849.12,2026-06-01 14:09:07.200000000,104.206354,30.721974,71.2,5.82
DO202606010000,V01,5,854.12,2026-06-01 14:14:07.200000000,104.182876,30.692264,66.0,4.24
DO202606010000,V01,6,859.12,2026-06-01 14:19:07.200000000,104.159397,30.662554,40.4,5.72
DO202606010000,V01,7,864.12,2026-06-01 14:24:07.200000000,104.135919,30.632844,61.8,6.28
DO202606010000,V01,8,865.0,2026-06-01 14:25:00.000000000,104.131787,30.627615,50.7,7.17
DO202606010001,V08,0,832.12,2026-06-01 13:52:07.200000000,104.300267,30.840815,67.2,4.86
DO202606010001,V08,1,837.12,2026-06-01 13:57:07.200000000,104.276789,30.811105,62.9,4.48
DO202606010001,V08,2,842.12,2026-06-01 14:02:07.200000000,104.25331,30.781395,59.1,6.25
DO202606010001,V08,3,847.12,2026-06-01 14:07:07.200000000,104.229832,30.751685,56.9,5.19
DO202606010001,V08,4,852.12,2026-06-01 14:12:07.200000000,104.206354,30.721974,71.9,5.39
DO202606010001,V08,5,857.12,2026-06-01 14:17:07.200000000,104.182876,30.692264,48.3,5.82
DO202606010001,V08,6,862.12,2026-06-01 14:22:07.200000000,104.159397,30.662554,58.0,6.07
DO202606010001,V08,7,867.12,2026-06-01 14:27:07.200000000,104.135919,30.632844,65.3,5.3
DO202606010001,V08,8,868.0,2026-06-01 14:28:00.000000000,104.131787,30.627615,64.4,6.86
DO202606010002,V05,0,840.7,2026-06-01 14:00:42.000000000,104.300267,30.840815,52.1,4.91
DO202606010002,V05,1,845.7,2026-06-01 14:05:42.000000000,104.277195,30.811437,63.7,5.83
DO202606010002,V05,2,850.7,2026-06-01 14:10:42.000000000,104.254123,30.782058,59.8,5.64
DO202606010002,V05,3,855.7,2026-06-01 14:15:42.000000000,104.23105,30.75268,44.6,5.72
DO202606010002,V05,4,860.7,2026-06-01 14:20:42.000000000,104.207978,30.723302,49.7,4.41
DO202606010002,V05,5,865.7,2026-06-01 14:25:42.000000000,104.184906,30.693923,51.4,4.72
DO202606010002,V05,6,870.7,2026-06-01 14:30:42.000000000,104.161834,30.664545,65.8,5.41
DO202606010002,V05,7,875.7,2026-06-01 14:35:42.000000000,104.138762,30.635166,55.7,8.12
DO202606010002,V05,8,877.0,2026-06-01 14:37:00.000000000,104.132763,30.627528,61.8,8.34
DO202606010003,V05,0,841.7,2026-06-01 14:01:42.000000000,104.300267,30.840815,49.2,5.07
DO202606010003,V05,1,846.7,2026-06-01 14:06:42.000000000,104.277195,30.811437,54.6,5.83
DO202606010003,V05,2,851.7,2026-06-01 14:11:42.000000000,104.254123,30.782058,63.7,4.98
DO202606010003,V05,3,856.7,2026-06-01 14:16:42.000000000,104.23105,30.75268,56.5,4.15
DO202606010003,V05,4,861.7,2026-06-01 14:21:42.000000000,104.207978,30.723302,55.6,5.48
DO202606010003,V05,5,866.7,2026-06-01 14:26:42.000000000,104.184906,30.693923,59.6,3.76
DO202606010003,V05,6,871.7,2026-06-01 14:31:42.000000000,104.161834,30.664545,77.7,5.24
DO202606010003,V05,7,876.7,2026-06-01 14:36:42.000000000,104.138762,30.635166,60.4,7.11
DO202606010003,V05,8,878.0,2026-06-01 14:38:00.000000000,104.132763,30.627528,35.7,8.49
