vehicle_id,date,n_orders,load_kg,volume_m3,rated_payload_kg,rated_volume_m3,load_rate,volume_rate
V01,2026-06-01,7,656.1700000000001,8.2044,1400.0,18.0,0.4686928571428572,0.4558
V01,2026-06-02,14,1581.27,8.765,1400.0,18.0,1.1294785714285713,0.48694444444444446
V01,2026-06-03,13,2421.21,6.3248,1400.0,18.0,1.7294357142857144,0.3513777777777778
V01,2026-06-04,12,306.36,4.731,1400.0,18.0,0.21882857142857143,0.2628333333333333
V01,2026-06-05,17,1012.0,9.1686,1400.0,18.0,0.7228571428571429,0.5093666666666666
V01,2026-06-06,14,879.37,9.7319,1400.0,18.0,0.6281214285714286,0.540661111111111
V01,2026-06-07,10,873.35,12.3707,1400.0,18.0,0.6238214285714286,0.6872611111111111
V01,2026-06-08,11,1481.76,7.0388,1400.0,18.0,1.0584,0.3910444444444445
V01,2026-06-09,7,258.44,21.6252,1400.0,18.0,0.1846,1.2014
V01,2026-06-10,14,2216.77,12.4496,1400.0,18.0,1.5834071428571428,0.6916444444444445
V01,2026-06-11,4,173.07999999999998,0.4013,1400.0,18.0,0.12362857142857142,0.022294444444444443
V01,2026-06-12,12,783.23,4.679,1400.0,18.0,0.55945,0.2599444444444445
V01,2026-06-13,12,2722.06,4.1998,1400.0,18.0,1.9443285714285714,0.2333222222222222
V01,2026-06-14,16,1253.91,8.9793,1400.0,18.0,0.8956500000000001,0.49885
V01,2026-06-15,7,349.02,2.1697,1400.0,18.0,0.2493,0.1205388888888889
V01,2026-06-16,14,1836.08,18.3338,1400.0,18.0,1.3114857142857141,1.0185444444444445
V01,2026-06-17,14,1238.28,3.472,1400.0,18.0,0.8844857142857143,0.1928888888888889
V01,2026-06-18,12,1531.03,4.2123,1400.0,18.0,1.093592857142857,0.23401666666666665
V01,2026-06-19,8,333.97,16.6305,1400.0,18.0,0.23855,0.9239166666666667
V01,2026-06-20,11,2047.2600000000002,8.7125,1400.0,18.0,1.4623285714285716,0.4840277777777778
V01,2026-06-21,17,1193.42,16.8646,1400.0,18.0,0.8524428571428572,0.9369222222222222
V01,2026-06-22,15,1304.6299999999999,7.8445,1400.0,18.0,0.9318785714285713,0.43580555555555556
V01,2026-06-23,9,1161.8700000000001,6.7434,1400.0,18.0,0.829907142857143,0.3746333333333334
V01,2026-06-24,8,425.26,6.557999999999999,1400.0,18.0,0.30375714285714284,0.3643333333333333
V01,2026-06-25,5,559.4799999999999,2.283,1400.0,18.0,0.39962857142857133,0.12683333333333333
V01,2026-06-26,12,667.02,11.1098,1400.0,18.0,0.4764428571428571,0.6172111111111112
V01,2026-06-27,12,1654.01,11.884699999999999,1400.0,18.0,1.1814357142857144,0.6602611111111111
V01,2026-06-28,11,1001.8,17.820899999999998,1400.0,18.0,0.7155714285714285,0.9900499999999999
V01,2026-06-29,12,2334.04,5.8678,1400.0,18.0,1.6671714285714285,0.3259888888888889
V01,2026-06-30,8,571.39,2.6343,1400.0,18.0,0.40813571428571427,0.14635
V01,2026-07-01,15,1174.6200000000001,6.1552,1400.0,18.0,0.8390142857142858,0.34195555555555557
V01,2026-07-02,13,773.48,10.5505,1400.0,18.0,0.5524857142857142,0.5861388888888889
V01,2026-07-03,9,676.49,6.9017,1400.0,18.0,0.4832071428571429,0.38342777777777776
V01,2026-07-04,15,984.99,10.3954,1400.0,18.0,0.7035642857142858,0.5775222222222223
V01,2026-07-05,4,192.36,2.443,1400.0,18.0,0.13740000000000002,0.13572222222222222
V01,2026-07-06,12,443.62,2.9792,1400.0,18.0,0.3168714285714286,0.1655111111111111
V01,2026-07-07,14,1850.44,5.7719,1400.0,18.0,1.321742857142857,0.32066111111111106
V01,2026-07-08,13,903.6800000000001,5.0584,1400.0,18.0,0.6454857142857143,0.28102222222222223
V01,2026-07-09,9,393.84000000000003,6.984500000000001,1400.0,18.0,0.28131428571428574,0.3880277777777778
V01,2026-07-10,11,528.63,4.2899,1400.0,18.0,0.3775928571428571,0.2383277777777778
V01,2026-07-11,17,873.52,7.4164,1400.0,18.0,0.6239428571428571,0.41202222222222223
V01,2026-07-12,6,360.09,2.1366,1400.0,18.0,0.25720714285714286,0.1187
